,employeeID,jobID
0,0,1317
1,0,724
2,0,717
3,0,1378
4,0,62
5,1,137
6,1,846
7,1,29
8,1,1175
9,3,928
10,3,1153
11,4,347
12,5,232
13,5,1144
14,6,589
15,6,287
16,6,931
17,6,1219
18,7,127
19,7,521
20,10,16
21,11,418
22,11,89
23,11,203
24,13,834
25,13,182
26,13,1785
27,13,1523
28,15,1204
29,15,265
30,16,1825
31,16,1078
32,16,64
33,16,1696
34,17,1838
35,17,706
36,17,89
37,18,1955
38,18,501
39,18,1354
40,19,850
41,19,1552
42,19,1185
43,20,1162
44,20,1989
45,20,1505
46,20,1249
47,22,1470
48,22,1957
49,23,121
50,23,1977
51,24,329
52,24,1013
53,24,1739
54,24,1926
55,25,1888
56,25,1449
57,25,552
58,26,599
59,26,1510
60,26,78
61,27,645
62,27,175
63,27,1177
64,28,526
65,28,381
66,28,328
67,28,1863
68,29,582
69,29,62
70,30,1602
71,30,850
72,30,459
73,31,578
74,31,1787
75,31,922
76,31,1402
77,32,1811
78,32,663
79,32,1594
80,33,873
81,33,988
82,33,697
83,34,1669
84,34,1103
85,34,857
86,34,1054
87,34,351
88,36,121
89,36,745
90,36,716
91,36,1259
92,37,464
93,37,396
94,37,853
95,38,1706
96,38,1444
97,38,683
98,38,989
99,38,433
100,40,1545
101,40,1892
102,40,163
103,40,334
104,40,124
105,41,446
106,41,242
107,41,1316
108,41,574
109,41,1748
110,43,1221
111,44,1486
112,44,65
113,46,962
114,48,847
115,49,1728
116,49,1435
117,50,1813
118,50,1190
119,50,1343
120,50,1644
121,50,421
122,51,1478
123,51,1743
124,51,1015
125,51,1228
126,51,802
127,52,581
128,53,1177
129,54,1843
130,54,1223
131,54,522
132,55,1465
133,56,1444
134,56,1268
135,56,406
136,56,1598
137,56,257
138,57,1658
139,58,46
140,58,1973
141,59,93
142,59,1537
143,59,317
144,59,1625
145,59,560
146,60,1084
147,60,1410
148,60,1935
149,60,296
150,60,1012
151,62,1151
152,63,1857
153,63,1455
154,63,796
155,63,1883
156,64,1496
157,64,1262
158,64,189
159,64,1138
160,64,1127
161,65,1010
162,65,1990
163,66,1296
164,66,395
165,66,1380
166,66,539
167,68,1397
168,68,910
169,68,1781
170,68,691
171,69,1944
172,70,1250
173,70,534
174,70,28
175,70,829
176,71,1296
177,72,1948
178,72,457
179,73,1021
180,73,201
181,73,752
182,73,1571
183,74,1836
184,74,1508
185,76,1520
186,76,940
187,76,855
188,76,1233
189,76,1189
190,77,606
191,77,1216
192,77,1846
193,77,85
194,77,458
195,78,1296
196,78,646
197,79,527
198,80,1458
199,80,545
200,80,1534
201,80,1595
202,80,960
203,81,1582
204,81,1959
205,81,1824
206,82,638
207,82,834
208,82,976
209,82,1518
210,82,1979
211,83,1564
212,84,1772
213,84,1724
214,84,100
215,84,1865
216,86,1088
217,86,1454
218,86,609
219,88,1532
220,88,1994
221,88,1191
222,88,1165
223,88,1027
224,89,1062
225,89,1984
226,91,296
227,91,1129
228,91,130
229,91,1298
230,91,1737
